nombre_shp,nombre_capa,nombre_shp_l
Cargadores_electromovilidad,MOV_cargadores_electromovilidad,cargadores_electromovilidad
Ciclovias1semestre_2022_VF,MOV_ciclovias1semestre_2022_vf,ciclovias1semestre_2022_vf
cruces_semaforizados_uoct,MOV_cruces_semaforizados_uoct,cruces_semaforizados_uoct
distancia_centro_comercio_santiago,MOV_distancia_centro_comercio_santiago,distancia_centro_comercio_santiago
distancia_centros_empleo_santiago,MOV_distancia_centros_empleo_santiago,distancia_centros_empleo_santiago
distancia_educ_basica_SIEDU,MOV_distancia_educ_basica_siedu,distancia_educ_basica_siedu
distancia_educ_inicial_SIEDU,MOV_distancia_educ_inicial_siedu,distancia_educ_inicial_siedu
distancia_paraderos_santiago,MOV_distancia_paraderos_santiago,distancia_paraderos_santiago
distancia_salud_primaria_SIEDU,MOV_distancia_salud_primaria_siedu,distancia_salud_primaria_siedu
ea_93_Porcentaje_de_cobertura_de_la_red_de_ciclovía_sobre_la_red_vial,MOV_ea_93_porcentaje_de_cobertura_de_la_red_de_ciclovia_sobre_la_red_vial,ea_93_porcentaje_de_cobertura_de_la_red_de_ciclovía_sobre_la_red_vial
Estacionamiento_bicicletas,MOV_estacionamiento_bicicletas,estacionamiento_bicicletas
Estaciones_de_servicio,MOV_estaciones_de_servicio,estaciones_de_servicio
Estaciones_Tren_RM,MOV_estaciones_tren_rm,estaciones_tren_rm
Lineas_metro_actualizado,MOV_lineas_metro_actualizado,lineas_metro_actualizado
MOP_Tuneles,MOV_mop_tuneles,mop_tuneles
OE15_PORC_KM_PAVIMENT,MOV_oe15_porc_km_paviment,oe15_porc_km_paviment
paraderos_estacionesmetro,MOV_paraderos_estacionesmetro,paraderos_estacionesmetro
puntos_bip,MOV_puntos_bip,puntos_bip
Recorridos_Sistema_Red,MOV_recorridos_sistema_red,recorridos_sistema_red
Red_ferroviaria,MOV_red_ferroviaria,red_ferroviaria
red_vial_RM,MOV_red_vial_rm,red_vial_rm
Ruta_buses_interurbanos,MOV_ruta_buses_interurbanos,ruta_buses_interurbanos
Ruta_buses_rurales,MOV_ruta_buses_rurales,ruta_buses_rurales
Ruta_taxis_colectivos,MOV_ruta_taxis_colectivos,ruta_taxis_colectivos
terminales_buses_STGO,MOV_terminales_buses_stgo,terminales_buses_stgo
zonas_congestion,MOV_zonas_congestion,zonas_congestion
Zonas Pagas 01-08-2018,MOV_zonas_pagas_01_08_2018,zonas pagas 01-08-2018
BPU_24_Tasa_conexiones_residenciales_fijas_internet_RM,PLA_bpu_24_tasa_conexiones_residenciales_fijas_internet_rm,bpu_24_tasa_conexiones_residenciales_fijas_internet_rm
Campamentos_2022_RM,PLA_campamentos_2022_rm,campamentos_2022_rm
CCU_1993_2020_RM,PLA_ccu_1993_2020_rm,ccu_1993_2020_rm
Condominios_Sociales_RM,PLA_condominios_sociales_rm,condominios_sociales_rm
Deficit_Habitacional_Cuantitativo_RM,PLA_deficit_habitacional_cuantitativo_rm,deficit_habitacional_cuantitativo_rm
EA_23_Porcentaje_aporte_energía_eléctrica_origen_domiciliario_RM,PLA_ea_23_porcentaje_aporte_energia_electrica_origen_domiciliario_rm,ea_23_porcentaje_aporte_energía_eléctrica_origen_domiciliario_rm
Industria_Forestal_RM,PLA_industria_forestal_rm,industria_forestal_rm
Instalaciones_Mineras_RM,PLA_instalaciones_mineras_rm,instalaciones_mineras_rm
Parcelas_agrado_RM,PLA_parcelas_agrado_rm,parcelas_agrado_rm
PE_2010_2021_RM,PLA_pe_2010_2021_rm,pe_2010_2021_rm
Planes_sectoriales,PLA_planes_sectoriales,planes_sectoriales
